n,insertion_comparisons,insertion_swaps,shell_comparisons,shell_swaps
100,2635.1428571428573,2635.1428571428573,780.8571428571429,780.8571428571429
500,63830.57142857143,63830.57142857143,5893.285714285715,5893.285714285715
2000,1008490.0,1008490.0,30501.14285714286,30501.14285714286
