n std_sort heap quick_random intro_random quick_det intro_det
3610000 2.24764e+06 6.46385e+06 2.47563e+06 2.49072e+06 9.24366e+06 9.26678e+06
3660000 2.28805e+06 6.62411e+06 2.55595e+06 2.49385e+06 6.78564e+06 6.77232e+06
3710000 2.4022e+06 6.62352e+06 2.53597e+06 2.56511e+06 6.49469e+06 6.46861e+06
3760000 2.42917e+06 7.08719e+06 2.73581e+06 2.58269e+06 6.74344e+06 6.6741e+06
3810000 2.39926e+06 6.84293e+06 2.60556e+06 2.60229e+06 1.04419e+07 1.03701e+07
3860000 2.39956e+06 6.88918e+06 2.68938e+06 2.66512e+06 7.83025e+06 7.81553e+06
3910000 2.65586e+06 7.0408e+06 2.65644e+06 2.7241e+06 7.18431e+06 7.09933e+06
3960000 2.54457e+06 7.08119e+06 2.80662e+06 2.88412e+06 7.43325e+06 7.43439e+06
4010000 2.46014e+06 7.1589e+06 2.86321e+06 2.76778e+06 2.01334e+07 2.01253e+07
4060000 2.94555e+06 7.52865e+06 3.02708e+06 2.87897e+06 1.01671e+07 1.01032e+07
4110000 2.6353e+06 7.46902e+06 3.02755e+06 3.0598e+06 8.39617e+06 8.4965e+06
4160000 3.32382e+06 9.29823e+06 3.5006e+06 3.48392e+06 1.15054e+07 1.14211e+07
4210000 3.35931e+06 9.28279e+06 3.54102e+06 3.52326e+06 1.24517e+07 1.24366e+07
4260000 3.23563e+06 9.397e+06 3.54631e+06 3.53396e+06 2.34667e+07 2.3476e+07
4310000 3.70272e+06 9.75993e+06 3.68861e+06 3.64267e+06 9.2423e+06 9.30353e+06
4360000 3.25387e+06 9.79697e+06 3.61239e+06 3.63654e+06 1.15571e+07 1.14994e+07
4410000 3.51998e+06 9.87123e+06 3.71838e+06 3.644e+06 1.87007e+07 1.87504e+07
4460000 3.54857e+06 9.99919e+06 3.7483e+06 3.7442e+06 9.8046e+06 9.86479e+06
4510000 3.55202e+06 1.00235e+07 3.85739e+06 3.74163e+06 2.32316e+07 2.3045e+07
4560000 3.68032e+06 1.00456e+07 3.91799e+06 3.87167e+06 1.26522e+07 1.25485e+07
4610000 3.60836e+06 1.00316e+07 3.5759e+06 3.43862e+06 1.00555e+07 9.99098e+06
4660000 2.96491e+06 8.47715e+06 3.22604e+06 3.39015e+06 9.21913e+06 9.07122e+06
4710000 2.97616e+06 8.64689e+06 3.25995e+06 3.21375e+06 9.33642e+06 1.48924e+07
4760000 5.97636e+06 1.5692e+07 6.38558e+06 6.31452e+06 2.98564e+07 2.98156e+07
4810000 6.45517e+06 1.54866e+07 6.05671e+06 6.09357e+06 2.18522e+07 2.16012e+07
4860000 6.15365e+06 1.55047e+07 5.94244e+06 5.86058e+06 2.37659e+07 2.35639e+07
4910000 6.30243e+06 1.57007e+07 6.06346e+06 6.00899e+06 2.68799e+07 2.68673e+07
4960000 6.30394e+06 1.60062e+07 6.17088e+06 6.09149e+06 1.7526e+07 1.75401e+07
5010000 6.3448e+06 1.6154e+07 6.21954e+06 6.12683e+06 2.56532e+07 2.55611e+07
5060000 6.28971e+06 1.63149e+07 6.32107e+06 6.21607e+06 2.18561e+07 2.17165e+07
5110000 6.42676e+06 1.64916e+07 6.32981e+06 6.31004e+06 1.98045e+07 1.96494e+07
5160000 6.66923e+06 1.68642e+07 6.54657e+06 6.55856e+06 2.79371e+07 2.78484e+07
5210000 6.70574e+06 1.67373e+07 6.43278e+06 6.46995e+06 1.95902e+07 1.95696e+07
5260000 7.19599e+06 1.70506e+07 6.488e+06 6.55945e+06 3.02753e+07 3.02442e+07
5310000 6.60213e+06 1.70826e+07 6.58194e+06 6.6589e+06 2.02513e+07 2.02171e+07
5360000 6.84612e+06 1.73425e+07 5.72102e+06 5.07746e+06 1.67172e+07 1.67307e+07
5410000 4.95748e+06 1.34843e+07 4.95595e+06 5.09769e+06 1.83131e+07 1.82591e+07
5460000 5.45721e+06 1.36276e+07 5.04288e+06 5.15303e+06 1.98793e+07 1.99707e+07
5510000 5.23456e+06 1.38527e+07 5.10987e+06 5.21698e+06 1.45485e+07 1.46961e+07
5560000 5.22041e+06 1.38964e+07 5.18927e+06 5.16197e+06 2.12736e+07 2.14204e+07
5610000 5.18003e+06 1.40923e+07 5.29437e+06 5.22713e+06 3.11192e+07 3.11106e+07
5660000 5.12122e+06 1.41004e+07 5.31163e+06 5.33533e+06 1.76799e+07 1.76668e+07
5710000 5.1689e+06 1.44432e+07 5.42919e+06 5.45273e+06 2.53599e+07 2.5552e+07
5760000 5.11894e+06 1.14441e+07 4.20804e+06 4.29341e+06 2.60787e+07 2.51441e+07
5810000 3.78572e+06 1.13629e+07 4.47569e+06 4.37904e+06 1.47404e+07 1.48651e+07
5860000 4.07612e+06 1.15026e+07 4.31064e+06 4.45916e+06 1.28671e+07 1.30646e+07
5910000 4.12711e+06 1.14407e+07 4.37583e+06 4.40999e+06 1.39912e+07 1.41825e+07
5960000 3.84034e+06 1.14469e+07 4.35891e+06 4.34251e+06 1.25263e+07 1.2632e+07
6010000 4.39117e+06 1.18143e+07 4.47325e+06 4.53864e+06 2.34367e+07 2.25434e+07
6060000 4.15518e+06 1.17206e+07 4.4352e+06 4.46185e+06 1.62719e+07 1.6177e+07
6110000 4.00553e+06 1.18259e+07 4.47845e+06 4.50604e+06 1.51782e+07 1.53036e+07
6160000 4.12713e+06 1.90715e+07 7.69389e+06 7.83284e+06 2.22513e+07 2.22079e+07
6210000 8.38029e+06 2.02749e+07 7.77077e+06 7.75291e+06 3.69037e+07 3.72911e+07
6260000 8.71207e+06 2.08285e+07 7.94724e+06 7.89225e+06 2.1217e+07 2.11701e+07
6310000 8.38924e+06 2.10844e+07 8.05163e+06 8.08501e+06 2.13375e+07 2.10807e+07
6360000 8.61729e+06 2.12322e+07 8.20258e+06 8.14675e+06 2.19429e+07 2.17464e+07
6410000 8.52037e+06 2.14633e+07 8.06721e+06 8.07519e+06 2.48118e+07 2.47113e+07
6460000 8.50664e+06 2.14412e+07 8.31309e+06 8.15348e+06 3.13921e+07 3.19583e+07
6510000 7.14634e+06 1.85167e+07 7.11237e+06 7.0689e+06 1.97141e+07 1.80269e+07
6560000 7.10496e+06 1.81721e+07 6.93657e+06 6.97453e+06 2.11439e+07 1.92821e+07
6610000 4.75813e+06 1.30377e+07 5.26826e+06 5.29174e+06 1.40054e+07 1.40267e+07
6660000 4.78582e+06 1.28273e+07 5.00751e+06 4.84584e+06 2.41916e+07 2.44043e+07
6710000 4.96576e+06 1.2993e+07 4.99325e+06 5.01839e+06 1.69179e+07 1.7148e+07
6760000 4.74124e+06 1.30583e+07 5.05862e+06 4.95953e+06 1.42604e+07 1.40254e+07
6810000 4.60668e+06 1.32308e+07 5.07108e+06 4.9821e+06 1.36097e+07 1.35359e+07
6860000 4.74379e+06 1.31414e+07 5.01017e+06 5.01282e+06 1.57621e+07 1.58578e+07
6910000 4.69894e+06 1.34811e+07 5.06476e+06 5.15806e+06 1.80059e+07 1.81319e+07
6960000 4.95038e+06 1.36204e+07 5.1425e+06 5.15877e+06 1.93258e+07 1.9532e+07
7010000 4.81246e+06 1.36436e+07 5.23364e+06 5.13821e+06 2.00642e+07 2.0051e+07
7060000 4.80108e+06 1.36966e+07 5.19692e+06 5.14345e+06 1.38146e+07 1.49588e+07
7110000 6.31474e+06 1.76384e+07 6.76151e+06 6.7687e+06 2.41314e+07 2.39543e+07
7160000 6.46006e+06 1.45901e+07 6.20125e+06 5.41549e+06 1.53806e+07 1.56177e+07
7210000 5.00295e+06 1.39876e+07 5.39064e+06 5.54662e+06 1.88656e+07 1.87612e+07
7260000 4.8007e+06 1.4012e+07 5.37026e+06 5.41378e+06 1.62402e+07 1.6205e+07
7310000 4.89395e+06 1.41643e+07 5.62553e+06 5.8232e+06 1.71606e+07 1.71796e+07
7360000 4.8623e+06 1.42332e+07 5.55741e+06 5.39151e+06 2.21677e+07 2.25376e+07
7410000 5.04517e+06 1.45924e+07 5.54217e+06 5.533e+06 2.35522e+07 2.36143e+07
7460000 4.97533e+06 1.44603e+07 5.5067e+06 5.64983e+06 1.53454e+07 1.53553e+07
7510000 5.57474e+06 1.4492e+07 5.44231e+06 5.71386e+06 1.69498e+07 1.69278e+07
7560000 5.22008e+06 1.47036e+07 5.55147e+06 5.74725e+06 1.43311e+07 1.45644e+07
7610000 5.40251e+06 1.47534e+07 5.58743e+06 5.59582e+06 1.90116e+07 1.90477e+07
7660000 5.7831e+06 1.49369e+07 5.62932e+06 5.668e+06 1.6109e+07 1.61645e+07
7710000 5.29742e+06 1.52683e+07 5.68322e+06 5.73186e+06 2.20496e+07 2.23193e+07
7760000 5.56667e+06 1.51881e+07 5.78808e+06 5.79827e+06 2.04021e+07 2.03122e+07
7810000 5.1496e+06 1.52399e+07 5.73591e+06 5.71275e+06 1.65483e+07 1.67777e+07
7860000 5.42465e+06 1.53577e+07 5.74988e+06 5.81878e+06 2.23119e+07 2.23628e+07
7910000 5.31354e+06 1.54462e+07 5.89293e+06 5.81795e+06 1.82603e+07 1.79683e+07
7960000 5.6001e+06 1.56302e+07 5.94806e+06 5.90783e+06 2.67021e+07 2.70161e+07
8010000 5.34014e+06 1.55627e+07 5.94002e+06 5.91838e+06 1.57983e+07 1.59386e+07
8060000 5.56681e+06 1.59952e+07 6.06931e+06 6.03015e+06 1.7
