N,wide_area,wide_rel_err,tight_area,tight_rel_err
100,0.72,0.2377057710026271,0.8,0.15300641222514114
132,0.6136363636363635,0.3503174184681482,0.7878787878787878,0.16583964840354817
175,0.7714285714285715,0.1832561832171004,0.7885714285714286,0.16510632062192487
232,0.7370689655172413,0.2196341405738101,0.7758620689655172,0.17856225323558952
308,0.8766233766233766,0.07188202638306866,0.7727272727272727,0.18188119362655686
409,0.9242053789731052,0.021504962778433244,0.7872860635696821,0.16646719051496173
542,0.929889298892989,0.015487158121474014,0.7933579335793358,0.16003864680998778
719,0.8887343532684284,0.059059626933006246,0.7913769123783032,0.16213603712813862
954,0.9150943396226414,0.031151202663192264,0.790356394129979,0.16321650264381085
1264,0.9256329113924051,0.01999357427157352,0.7903481012658228,0.16322528264726668
1676,0.8967780429594272,0.050543434945097866,0.7899761336515513,0.1636191003774515
2222,0.9275427542754275,0.01797154342710171,0.7938793879387939,0.15948656118651502
2947,0.9589412962334578,0.01527141120281266,0.7923311842551748,0.16112570942725848
3906,0.9838709677419355,0.041665501094080404,0.7931387608806963,0.16027069414794146
5179,1.0322456072600887,0.0928817629475755,0.7993821201004054,0.15366058761635565
6866,0.9962132245849111,0.05473276659991882,0.7946402563355666,0.15868099787000625
9102,0.9937376400791035,0.05211176134690148,0.7905954735223027,0.16296337925347676
12067,0.9733156542636944,0.030490147552800686,0.7852821745255656,0.16858879197868545
15998,0.9591823977997249,0.015526675553601056,0.7853481685210651,0.16851892136491076
21209,0.9641190060823235,0.020753270004497608,0.7868357772643689,0.1669439275315406
28117,0.9580325070242203,0.014309237911733686,0.7864637052317104,0.16733785581385577
37275,0.9679678068410462,0.02482815695857407,0.7870959087860496,0.16666851536798852
49417,0.954145334601453,0.01019372526590977,0.7890402088350162,0.16461000327525718
65512,0.9532757357430699,0.009273044444676228,0.7894736842105263,0.16415106469586302
86851,0.9555330393432431,0.011662946538435958,0.7867612347583793,0.1670228488122779
115139,0.9468294843623793,0.002448127463889071,0.7858414611903872,0.16799665170514558
152641,0.9446872072378981,0.0001800087292986162,0.7856146120636002,0.16823682639987178
202358,0.9452406131707173,0.0007659228249666094,0.7864724893505569,0.16732855569843422
268269,0.9492188810484998,0.004977882053632253,0.7859461957960108,0.167885764780919
355648,0.9498071126507108,0.005600667547631311,0.7858866069821846,0.16794885395993633
471486,0.9472327916417455,0.0028751258132965894,0.7854125042949314,0.16845080637999924
625055,0.9480413723592324,0.003731204166933845,0.7852173008775227,0.1686574764335703
828642,0.9494920605038122,0.005267108612333995,0.7854067257030177,0.16845692441787075
1098541,0.9493846838670564,0.005153424458822805,0.7854263063463266,0.16843619356871184
1456348,0.9481113030676733,0.0038052427439814115,0.7854970103299486,0.16836133629276442
1930697,0.947684178304519,0.003353027824516958,0.785251129514367,0.16862166063545742
2559547,0.9459724709098916,0.0015407713402716345,0.7855014969445765,0.16835658612548857
3393221,0.9447978778865274,0.0002971803914784305,0.78555007174599,0.16830515794383272
4498432,0.9445691298656954,5.4995257902368154e-05,0.785524822871614,0.16833188998720153
5963623,0.9452453651077541,0.0007709539002162745,0.7855097480172707,0.16834785036840827
7906043,0.9448924069853908,0.00039726231722275377,0.7854017490165435,0.16846219344478583
10481131,0.9451925560323595,0.0007150427149218196,0.785405983380992,0.16845771034536558
13894954,0.9457292193986392,0.001283230752462504,0.785382161034862,0.16848293206338788
18420699,0.9459413022274562,0.0015077717475689624,0.7854811047072644,0.16837817624329324
24420530,0.9457784904750224,0.0013353961096616682,0.7854870471689189,0.168371884709647
32374575,0.9457796743277711,0.0013366495042704634,0.7854213684658409,0.1684414215100976
42919342,0.9458062987079345,0.0013648378533665964,0.7854181455065178,0.168444833792448
56898660,0.9456807418663287,0.001231905553689805,0.7854681815002321,0.1683918585851555
75431200,0.9454516035804813,0.0009893072301567557,0.7854829831687684,0.16837618743723226
100000000,0.94527351,0.0008007520792923848,0.78544331,0.1684181910866742
